,姓名,生日,aka,性別,職業,婚姻狀態
62,童瑞陽,1954-02-28,None,男,政治人物,0
63,王世堅,1960-01-01,None,男,政治人物,1
64,王浩宇,1988-10-29,None,男,政治人物,0
65,王立任,1969-06-11,None,男,政治人物,0
66,吳密察,1956-03-22,None,男,政治人物,1
67,吳敏濟,1956-07-06,None,男,政治人物,0
68,吳濬彥,1988-06-21,None,男,政治人物,0
69,王安邦,1976-08-15,None,男,政治人物,1
70,王閔生,1975-09-15,None,男,政治人物,1
71,魏筠,1980-01-10,None,女性,政治人物,0
72,謝燦輝,1958-02-18,None,男,政治人物,0
73,蕭隆澤,1960-04-26,None,男,政治人物,0
74,謝志忠,1969-04-06,None,男,政治人物,0
75,徐景文,1962-06-24,None,男,政治人物,1
76,余天,1947-02-18,余清源,男,政治人物,1
77,楊蕙如,1978-01-15,卡神,女,政治人物,0
78,楊烈,1952-10-13,楊松福,None,政治人物,1
79,游祥耀,1954-10-18,None,男,政治人物,0
80,姚人多,1969-12-12,None,男,政治人物,1
81,楊長鎮,1963-04-22,None,男,政治人物,1
82,顏蔚慈,1986-01-05,None,女,政治人物,1
83,張維洲,1983-05-05,None,男,政治人物,0
84,朱政騏,1978-04-12,None,男,政治人物,0
85,卓春英,1955-02-10,None,女,政治人物,0
86,何博文,1973-06-27,None,男,政治人物,0
87,何孟樺,1989-05-01,None,女,政治人物,0
88,冼義哲,1992-09-23,None,男,政治人物,0
89,呂孫福,1990-02-20,None,男,政治人物,0
90,周威佑,1962-09-15,None,男,政治人物,0
91,周柏雅,1959-03-08,None,男,政治人物,0
92,張肇良,1964-09-30,None,男,政治人物,0
93,張明達,1960-08-01,None,男,政治人物,1
94,張銘祐,1984-07-17,None,男,政治人物,1
95,李余典,1958-01-27,None,男,政治人物,1
96,李明俐,1984-05-14,None,女,政治人物,0
